"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-05-25,"WWE","WWE NXT","WWE NXT #578","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-25,"WWE","WWE 205 Live","WWE 205 Live #233","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-24,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1461","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-24,"WWE","WWE Main Event","WWE Main Event #452","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-21,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1135","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-20,"WWE","WWE NXT UK","WWE NXT UK #145","Televised","London, England, UK","London","England","UK"
2021-05-18,"WWE","WWE NXT","WWE NXT #577","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-18,"WWE","WWE 205 Live","WWE 205 Live #232","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-17,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1460","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-17,"WWE","WWE Main Event","WWE Main Event #451","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-16,"WWE","WWE WrestleMania Backlash","WWE WrestleMania Backlash 2021 Kickoff","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-16,"WWE","WWE WrestleMania Backlash","WWE WrestleMania Backlash 2021","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-14,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1134","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-13,"WWE","WWE NXT UK","WWE NXT UK #144","Televised","London, England, UK","London","England","UK"
2021-05-11,"WWE","WWE NXT","WWE NXT #576","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-11,"WWE","WWE 205 Live","WWE 205 Live #231","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-10,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1459","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-10,"WWE","WWE Main Event","WWE Main Event #450","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-07,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1133 - Throwback Edition","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-06,"WWE","WWE NXT UK","WWE NXT UK #143","Televised","London, England, UK","London","England","UK"
2021-05-04,"WWE","WWE NXT","WWE NXT #575","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-04,"WWE","WWE 205 Live","WWE 205 Live #230","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-03,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1458","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-03,"WWE","WWE Main Event","WWE Main Event #449","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
