"Index","Date","Promotion","Match","CageMatchRating","CageMatchRatingVotes","WONStarRating","Opponent.1","Opponent.2"
6517,2024-05-14,"WWE","Karl Anderson & Luke Gallows vs. Ridge Holland & Riley Osborne",4.29,55,NA,"Karl Anderson & Luke Gallows","Ridge Holland & Riley Osborne"
6516,2024-05-14,"WWE","Bronco Nima & Lucien Price vs. Edris Enofe & Malik Blade",5.72,53,NA,"Bronco Nima & Lucien Price","Edris Enofe & Malik Blade"
6515,2024-05-14,"WWE","Fallon Henley vs. Thea Hail",6.1,51,NA,"Fallon Henley","Thea Hail"
6514,2024-05-14,"WWE","Axiom & Nathan Frazer vs. Channing Lorenzo & Luca Crusifino",6.67,53,NA,"Axiom & Nathan Frazer","Channing Lorenzo & Luca Crusifino"
6513,2024-05-14,"WWE","Joe Coffey vs. Josh Briggs vs. Wes Lee",6.7,49,NA,"Joe Coffey","Josh Briggs, Wes Lee,"
6512,2024-05-14,"WWE","Karmen Petrovic & Natalya vs. Lola Vice & Shayna Baszler",6.67,48,NA,"Karmen Petrovic & Natalya","Lola Vice & Shayna Baszler"
6511,2024-05-13,"WWE","Gunther vs. Kofi Kingston",7.65,215,NA,"Gunther","Kofi Kingston"
6510,2024-05-13,"WWE","Akam & Rezar vs. Brutus Creed & Julius Creed vs. Finn Balor & JD McDonagh vs. Pete Dunne & Tyler Bate",6.83,143,3.5,"Akam & Rezar","Brutus Creed & Julius Creed, Finn Balor & JD McDonagh, Pete Dunne & Tyler Bate,"
6509,2024-05-13,"WWE","Ilja Dragunov vs. Jey Uso",5.71,210,NA,"Ilja Dragunov","Jey Uso"
6508,2024-05-13,"WWE","Becky Lynch vs. Dakota Kai",5.94,138,NA,"Becky Lynch","Dakota Kai"
6507,2024-05-13,"WWE","Lyra Valkyria vs. Zoey Stark",6.41,154,NA,"Lyra Valkyria","Zoey Stark"
6506,2024-05-13,"WWE","IYO SKY vs. Shayna Baszler",7.68,224,NA,"IYO SKY","Shayna Baszler"
6505,2024-05-13,"WWE","Ivy Nile vs. Kiana James",NA,NA,NA,"Ivy Nile","Kiana James"
6504,2024-05-13,"WWE","Alba Fyre vs. Natalya",NA,NA,NA,"Alba Fyre","Natalya"
6503,2024-05-10,"WWE","Naomi vs. Nia Jax",5.98,140,NA,"Naomi","Nia Jax"
6502,2024-05-10,"WWE","Baron Corbin vs. Carmelo Hayes",6.01,130,NA,"Baron Corbin","Carmelo Hayes"
6501,2024-05-10,"WWE","Jade Cargill vs. Piper Niven",5.44,139,NA,"Jade Cargill","Piper Niven"
6500,2024-05-10,"WWE","AJ Styles vs. Randy Orton",7.48,214,4,"AJ Styles","Randy Orton"
6499,2024-05-07,"WWE","Jasper Troy vs. Tavion Heights",NA,NA,NA,"Jasper Troy","Tavion Heights"
6498,2024-05-07,"WWE","Jazmyn Nyx vs. Lainey Reid",NA,NA,NA,"Jazmyn Nyx","Lainey Reid"
6497,2024-05-07,"WWE","Kale Dixon vs. Tank Ledger",NA,NA,NA,"Kale Dixon","Tank Ledger"
6496,2024-05-07,"WWE","Josh Briggs vs. Wes Lee",6.39,60,NA,"Josh Briggs","Wes Lee"
6495,2024-05-07,"WWE","Fallon Henley vs. Kelani Jordan",5.53,56,NA,"Fallon Henley","Kelani Jordan"
6494,2024-05-07,"WWE","Chelsea Green vs. Roxanne Perez",5.8,82,NA,"Chelsea Green","Roxanne Perez"
6493,2024-05-06,"WWE","Dakota Kai vs. Lyra Valkyria",6.05,217,NA,"Dakota Kai","Lyra Valkyria"
6492,2024-05-06,"WWE","Gunther vs. Sheamus",8.65,515,4.25,"Gunther","Sheamus"
6491,2024-05-06,"WWE","Ilja Dragunov vs. Ricochet",8.53,514,4.5,"Ilja Dragunov","Ricochet"
6490,2024-05-06,"WWE","Ivy Nile vs. Zoey Stark",4.71,211,NA,"Ivy Nile","Zoey Stark"
6489,2024-05-06,"WWE","IYO SKY vs. Natalya",7.29,296,NA,"IYO SKY","Natalya"
6488,2024-05-06,"WWE","Finn Balor vs. Jey Uso",6.15,244,NA,"Finn Balor","Jey Uso"
6487,2024-05-06,"WWE","Brutus Creed & Julius Creed vs. Pete Dunne & Tyler Bate",NA,NA,NA,"Brutus Creed & Julius Creed","Pete Dunne & Tyler Bate"
6486,2024-05-04,"WWE","Kevin Owens & Randy Orton vs. Solo Sikoa & Tama Tonga",8.09,764,4.75,"Kevin Owens & Randy Orton","Solo Sikoa & Tama Tonga"
6485,2024-05-04,"WWE","Bayley vs. Naomi vs. Tiffany Stratton",7.19,681,4.5,"Bayley","Naomi, Tiffany Stratton,"
6484,2024-05-04,"WWE","Damian Priest vs. Jey Uso",6.69,659,3.5,"Damian Priest","Jey Uso"
6483,2024-05-04,"WWE","Asuka & Kairi Sane vs. Bianca Belair & Jade Cargill",5.86,640,3,"Asuka & Kairi Sane","Bianca Belair & Jade Cargill"
6482,2024-05-04,"WWE","AJ Styles vs. Cody Rhodes",8.66,957,5,"AJ Styles","Cody Rhodes"
6481,2024-05-03,"WWE","Angelo Dawkins & Montez Ford vs. Austin Theory & Grayson Waller",6.39,107,NA,"Angelo Dawkins & Montez Ford","Austin Theory & Grayson Waller"
6480,2024-05-03,"WWE","Angel    vs. LA Knight",5.08,100,NA,"Angel","LA Knight"
6479,2024-05-03,"WWE","Akam & Rezar vs. Pete Dunne & Tyler Bate",6.32,110,NA,"Akam & Rezar","Pete Dunne & Tyler Bate"
6478,2024-05-03,"WWE","Asuka, Dakota Kai, Kairi Sane & Tiffany Stratton vs. Bayley, Bianca Belair, Jade Cargill & Naomi",6.43,126,NA,"Asuka, Dakota Kai, Kairi Sane & Tiffany Stratton","Bayley, Bianca Belair, Jade Cargill & Naomi"
